FCDFS;2;A;Flores;A;San José de Flores 
FCDFS;3;A;Floresta;;
FCDFS;4;A;Villa Luro;;
FCDFS;5;A;Liniers;;
FCDFS;6;A;Ciudadela;;
FCDFS;7;A;Ramos Mejia;;
FCDFS;8;A;Haedo;;
FCDFS;9;A;Morón;;
FCDFS;10;A;Castelar;;
FCDFS;11;A;Ituzaingó;;
FCDFS;12;A;S. A. Padua;;
FCDFS;13;A;Merlo;;
FCDFS;14;A;Paso del Rey;;
FCDFS;15;A;Moreno;;
FCGBM - R.JLSuarez;0;A;Retiro;C;Retiro
FCGBM - R.JLSuarez;0;A;Retiro;FCGBM - R.Mitre;Retiro
FCGBM - R.JLSuarez;0;A;Retiro;FCGBM - R.Tigre;Retiro
FCGBM - R.JLSuarez;0;A;Retiro;FCGSM;Retiro
FCGBM - R.JLSuarez;1;A;3 de Febrero;;
FCGBM - R.JLSuarez;2;A;Carranza;;
FCGBM - R.JLSuarez;3;A;Colegiales;;
FCGBM - R.JLSuarez;4;A;Belgrano R;;
FCGBM - R.JLSuarez;5;A;Drago;;
FCGBM - R.JLSuarez;6;A;Urquiza;B;Juan Manuel de Rosas
FCGBM - R.JLSuarez;7;A;Pueyrredón;;
FCGBM - R.JLSuarez;8;A;Miguelete;;
FCGBM - R.JLSuarez;9;A;San Martín;;
FCGBM - R.JLSuarez;10;A;San Andrés;;
FCGBM - R.JLSuarez;11;A;Malaver;;
FCGBM - R.JLSuarez;12;A;Villa Ballester;;
FCGBM - R.JLSuarez;13;A;Chilavert;;
FCGBM - R.JLSuarez;14;A;José León Suarez;;
FCGBM - R.Mitre;0;A;Retiro;C;Retiro
FCGBM - R.Mitre;0;A;Retiro;FCGBM - R.JLSuarez;Retiro
FCGBM - R.Mitre;0;A;Retiro;FCGBM - R.Tigre;Retiro
FCGBM - R.Mitre;0;A;Retiro;FCGSM;Retiro
FCGBM - R.Mitre;1;A;3 de Febrero;;
FCGBM - R.Mitre;2;A;Carranza;;
FCGBM - R.Mitre;3;A;Colegiales;;
FCGBM - R.Mitre;4;A;Belgrano R;;
FCGBM - R.Mitre;5;A;Coghlan;;
FCGBM - R.Mitre;6;A;Saavedra;;
FCGBM - R.Mitre;7;A;J.B. Justo;;
FCGBM - R.Mitre;8;A;Florida;;
FCGBM - R.Mitre;9;A;Cetránngolo;;
FCGBM - R.Mitre;10;A;Mitre;;
FCGBM - R.Tigre;0;A;Retiro;C;Retiro
FCGBM - R.Tigre;0;A;Retiro;FCGBM - R.JLSuarez;Retiro
FCGBM - R.Tigre;0;A;Retiro;FCGBM - R.Tigre;Retiro
FCGBM - R.Tigre;0;A;Retiro;FCGSM;Retiro
FCGBM - R.Tigre;1;A;Lisandro de la Torre;;
FCGBM - R.Tigre;2;A;Belgrano C;;
FCGBM - R.Tigre;3;A;Núñez;;
FCGBM - R.Tigre;4;A;Rivadavia;;
FCGBM - R.Tigre;5;A;Vicente López;;
FCGBM - R.Tigre;6;A;Olivos;;
FCGBM - R.Tigre;7;A;La Lucila;;
FCGBM - R.Tigre;8;A;Martínez;;
FCGBM - R.Tigre;9;A;Acassuso;;
FCGBM - R.Tigre;10;A;San Isidro;;
FCGBM - R.Tigre;11;A;Beccar;;
FCGBM - R.Tigre;12;A;Victoria;;
FCGBM - R.Tigre;13;A;Virreyes;;
FCGBM - R.Tigre;14;A;San Fernando;;
FCGBM - R.Tigre;15;A;Carupá;;
FCGBM - R.Tigre;16;A;Tigre;;
FCGSM;0;A;Retiro;C;Retiro
FCGSM;0;A;Retiro;FCGBM - R.Tigre;Retiro
FCGSM;0;A;Retiro;FCGBM - R.Mitre;Retiro
FCGSM;0;A;Retiro;FCGBM - R.JLSuarez;Retiro
FCGSM;1;A;Palermo;D;Palermo
FCGSM;2;A;Chacarita;B;Dorrego
FCGSM;3;A;La Paternal;;
FCGSM;4;A;Villa del Parque;;
FCGSM;5;A;Devoto;;
FCGSM;6;A;Sáenz Peña;;
FCGSM;7;A;Santos Lugares;;
FCGSM;8;A;Caseros;;
FCGSM;9;A;Palomar;;
FCGSM;10;A;Hurlingham;;
FCGSM;11;A;William Morris;;
FCGSM;12;A;Bella Vista;;
FCGSM;13;A;Muñiz;;
FCGSM;14;A;San Miguel;;
FCGSM;15;A;José C. Paz;;
FCGSM;16;A;Sol y Verde;;
FCGSM;17;A;Derqui;;
FCGSM;18;A;Villa Astolfi;;
FCGSM;19;A;Pilar;;
FCGSM;20;A;Manzanares;;
FCGSM;21;A;Dr. Domingo Cabred;;
FCGU;0;A;Federico Lacroze ;B;Federico Lacroze 
FCGU;1;A;Artigas;;
FCGU;2;A;Arata;;
FCGU;3;A;Francisco Beiró;;
FCGU;4;A;El Libertador;;
FCGU;5;A;Devoto;;
FCGU;6;A;Lynch;;
FCGU;7;A;F. Moreno;;
FCGU;8;A;Lourdes;;
FCGU;9;A;Tropezón;;
FCGU;10;A;J.M. Bosch;;
FCGU;11;A;Martín Coronado;;
FCGU;12;A;Pablo Podestá;;
FCGU;13;A;Jorge Newbery;;
FCGU;14;A;Rubén Darío;;
FCGU;15;A;Ejé. de los Andes;;
FCGU;16;A;Lasalle;;
FCGU;17;A;Sgto. Barrufaldi;;
FCGU;18;A;Capitán Lozano;;
FCGU;19;A;Teniente Agneta;;
FCGU;20;A;Campo de Mayo;;
FCGU;21;A;Sargento Cabral;;
FCGU;22;A;General Lemos;;
